Outcome category,Outcome detail,Cost / saving detail,Unit,Agency bearing the cost / making the fiscal saving 1,Agency bearing the cost / making the fiscal saving 2,Fiscal value,Economic value,Social value,Original source
CRIME,VIOLENCE,Robbery - fiscal cost to the police,Per incident,Police,,1218.802493,,,"Figures derived from 'The Economic and Social Costs of Crime, Second Edition'. This estimates the total cost (fiscal, economic and social) of crime. These costs have been disaggregated to identify the breakdown into fiscal, economic and social elements of the cost of crime and the breakdown of the fiscal costs to each agency using the split of expenditure from the same report. Further agency breakdowns are available in Table 23 of the original report (pg.58). Analysis carried out by the GMCA Research Team and assured by the Home Office."
CRIME,VIOLENCE,Robbery - fiscal cost to the probation system,Per incident,Probation,,205.1449741,,,"Figures derived from 'The Economic and Social Costs of Crime, Second Edition'. This estimates the total cost (fiscal, economic and social) of crime. These costs have been disaggregated to identify the breakdown into fiscal, economic and social elements of the cost of crime and the breakdown of the fiscal costs to each agency using the split of expenditure from the same report. Further agency breakdowns are available in Table 23 of the original report (pg.58). Analysis carried out by the GMCA Research Team and assured by the Home Office."
CRIME,VIOLENCE,Robbery - fiscal cost to the courts/legal aid system,Per incident,Court,Legal aid,2835.827584,,,"Figures derived from 'The Economic and Social Costs of Crime, Second Edition'. This estimates the total cost (fiscal, economic and social) of crime. These costs have been disaggregated to identify the breakdown into fiscal, economic and social elements of the cost of crime and the breakdown of the fiscal costs to each agency using the split of expenditure from the same report. Further agency breakdowns are available in Table 23 of the original report (pg.58). Analysis carried out by the GMCA Research Team and assured by the Home Office."
CRIME,VIOLENCE,Robbery - fiscal cost to the prison system,Per incident,Prison / Young Offenders Institute,,1146.398385,,,"Figures derived from 'The Economic and Social Costs of Crime, Second Edition'. This estimates the total cost (fiscal, economic and social) of crime. These costs have been disaggregated to identify the breakdown into fiscal, economic and social elements of the cost of crime and the breakdown of the fiscal costs to each agency using the split of expenditure from the same report. Further agency breakdowns are available in Table 23 of the original report (pg.58). Analysis carried out by the GMCA Research Team and assured by the Home Office."
CRIME,VIOLENCE,Robbery - fiscal cost to other areas of the criminal justice system,Per incident,Multiple,,253.4143798,,,"Figures derived from 'The Economic and Social Costs of Crime, Second Edition'. This estimates the total cost (fiscal, economic and social) of crime. These costs have been disaggregated to identify the breakdown into fiscal, economic and social elements of the cost of crime and the breakdown of the fiscal costs to each agency using the split of expenditure from the same report. Further agency breakdowns are available in Table 23 of the original report (pg.58). Analysis carried out by the GMCA Research Team and assured by the Home Office."
CRIME,VIOLENCE,Robbery - fiscal cost to the NHS,Per incident,NHS,,917.1187079,,,"Figures derived from 'The Economic and Social Costs of Crime, Second Edition'. This estimates the total cost (fiscal, economic and social) of crime. These costs have been disaggregated to identify the breakdown into fiscal, economic and social elements of the cost of crime and the breakdown of the fiscal costs to each agency using the split of expenditure from the same report. Further agency breakdowns are available in Table 23 of the original report (pg.58). Analysis carried out by the GMCA Research Team and assured by the Home Office."
CRIME,VIOLENCE,Robbery - fiscal cost to victim services,Per incident,Victim Services,,12.06735142,,,"Figures derived from 'The Economic and Social Costs of Crime, Second Edition'. This estimates the total cost (fiscal, economic and social) of crime. These costs have been disaggregated to identify the breakdown into fiscal, economic and social elements of the cost of crime and the breakdown of the fiscal costs to each agency using the split of expenditure from the same report. Further agency breakdowns are available in Table 23 of the original report (pg.58). Analysis carried out by the GMCA Research Team and assured by the Home Office."
CRIME,PROPERTY & VEHICLE CRIME,"Domestic Burglary - average cost per incident (fiscal, economic and social values)",Per incident,Criminal Justice System,,2630.68261,3077.174612,1436.014819,"Figures derived from 'The Economic and Social Costs of Crime, Second Edition'. This estimates the total cost (fiscal, economic and social) of crime. These costs have been disaggregated to identify the breakdown into fiscal, economic and social elements of the cost of crime and the breakdown of the fiscal costs to each agency using the split of expenditure from the same report. Further agency breakdowns are available in Table 23 of the original report (pg.58). Analysis carried out by the GMCA Research Team and assured by the Home Office."
CRIME,PROPERTY & VEHICLE CRIME,Domestic Burglary - fiscal cost to the police,Per incident,Police,,639.5696253,,,"Figures derived from 'The Economic and Social Costs of Crime, Second Edition'. This estimates the total cost (fiscal, economic and social) of crime. These costs have been disaggregated to identify the breakdown into fiscal, economic and social elements of the cost of crime and the breakdown of the fiscal costs to each agency using the split of expenditure from the same report. Further agency breakdowns are available in Table 23 of the original report (pg.58). Analysis carried out by the GMCA Research Team and assured by the Home Office."
CRIME,PROPERTY & VEHICLE CRIME,Domestic Burglary - fiscal cost to the probation system,Per incident,Probation,,72.40410852,,,"Figures derived from 'The Economic and Social Costs of Crime, Second Edition'. This estimates the total cost (fiscal, economic and social) of crime. These costs have been disaggregated to identify the breakdown into fiscal, economic and social elements of the cost of crime and the breakdown of the fiscal costs to each agency using the split of expenditure from the same report. Further agency breakdowns are available in Table 23 of the original report (pg.58). Analysis carried out by the GMCA Research Team and assured by the Home Office."
CRIME,PROPERTY & VEHICLE CRIME,Domestic Burglary - fiscal cost to the courts/legal aid system,Per incident,Court,Legal aid,1025.724871,,,"Figures derived from 'The Economic and Social Costs of Crime, Second Edition'. This estimates the total cost (fiscal, economic and social) of crime. These costs have been disaggregated to identify the breakdown into fiscal, economic and social elements of the cost of crime and the breakdown of the fiscal costs to each agency using the split of expenditure from the same report. Further agency breakdowns are available in Table 23 of the original report (pg.58). Analysis carried out by the GMCA Research Team and assured by the Home Office."
CRIME,PROPERTY & VEHICLE CRIME,Domestic Burglary - fiscal cost to the prison system,Per incident,Prison / Young Offenders Institute,,349.9531912,,,"Figures derived from 'The Economic and Social Costs of Crime, Second Edition'. This estimates the total cost (fiscal, economic and social) of crime. These costs have been disaggregated to identify the breakdown into fiscal, economic and social elements of the cost of crime and the breakdown of the fiscal costs to each agency using the split of expenditure from the same report. Further agency breakdowns are available in Table 23 of the original report (pg.58). Analysis carried out by the GMCA Research Team and assured by the Home Office."
CRIME,PROPERTY & VEHICLE CRIME,Domestic Burglary- fiscal cost to other areas of the criminal justice system,Per incident,Multiple,,84.47145994,,,"Figures derived from 'The Economic and Social Costs of Crime, Second Edition'. This estimates the total cost (fiscal, economic and social) of crime. These costs have been disaggregated to identify the breakdown into fiscal, economic and social elements of the cost of crime and the breakdown of the fiscal costs to each agency using the split of expenditure from the same report. Further agency breakdowns are available in Table 23 of the original report (pg.58). Analysis carried out by the GMCA Research Team and assured by the Home Office."
CRIME,PROPERTY & VEHICLE CRIME,Domestic Burglary- fiscal cost to other areas of the NHS,Per incident,NHS,,458.559354,,,"Figures derived from 'The Economic and Social Costs of Crime, Second Edition'. This estimates the total cost (fiscal, economic and social) of crime. These costs have been disaggregated to identify the breakdown into fiscal, economic and social elements of the cost of crime and the breakdown of the fiscal costs to each agency using the split of expenditure from the same report. Further agency breakdowns are available in Table 23 of the original report (pg.58). Analysis carried out by the GMCA Research Team and assured by the Home Office."
CRIME,PROPERTY & VEHICLE CRIME,"Theft of vehicle - average cost per incident (fiscal, economic and social values)",Per incident,Criminal Justice System,,4826.940568,7264.545555,325.8184883,"Figures derived from 'The Economic and Social Costs of Crime, Second Edition'. This estimates the total cost (fiscal, economic and social) of crime. These costs have been disaggregated to identify the breakdown into fiscal, economic and social elements of the cost of crime and the breakdown of the fiscal costs to each agency using the split of expenditure from the same report. Further agency breakdowns are available in Table 23 of the original report (pg.58). Analysis carried out by the GMCA Research Team and assured by the Home Office."
CRIME,PROPERTY & VEHICLE CRIME,Theft of vehicle - fiscal cost to the police,Per incident,Police,,2449.672338,,,"Figures derived from 'The Economic and Social Costs of Crime, Second Edition'. This estimates the total cost (fiscal, economic and social) of crime. These costs have been disaggregated to identify the breakdown into fiscal, economic and social elements of the cost of crime and the breakdown of the fiscal costs to each agency using the split of expenditure from the same report. Further agency breakdowns are available in Table 23 of the original report (pg.58). Analysis carried out by the GMCA Research Team and assured by the Home Office."
CRIME,PROPERTY & VEHICLE CRIME,Theft of vehicle - fiscal cost to the probation system,Per incident,Probation,,362.0205426,,,"Figures derived from 'The Economic and Social Costs of Crime, Second Edition'. This estimates the total cost (fiscal, economic and social) of crime. These costs have been disaggregated to identify the breakdown into fiscal, economic and social elements of the cost of crime and the breakdown of the fiscal costs to each agency using the split of expenditure from the same report. Further agency breakdowns are available in Table 23 of the original report (pg.58). Analysis carried out by the GMCA Research Team and assured by the Home Office."
CRIME,PROPERTY & VEHICLE CRIME,Theft of vehicle - fiscal cost to the courts/legal aid system,Per incident,Court,Legal aid,1556.688333,,,"Figures derived from 'The Economic and Social Costs of Crime, Second Edition'. This estimates the total cost (fiscal, economic and social) of crime. These costs have been disaggregated to identify the breakdown into fiscal, economic and social elements of the cost of crime and the breakdown of the fiscal costs to each agency using the split of expenditure from the same report. Further agency breakdowns are available in Table 23 of the original report (pg.58). Analysis carried out by the GMCA Research Team and assured by the Home Office."
CRIME,PROPERTY & VEHICLE CRIME,Theft of vehicle - fiscal cost to the prison system,Per incident,Prison / Young Offenders Institute,,144.808217,,,"Figures derived from 'The Economic and Social Costs of Crime, Second Edition'. This estimates the total cost (fiscal, economic and social) of crime. These costs have been disaggregated to identify the breakdown into fiscal, economic and social elements of the cost of crime and the breakdown of the fiscal costs to each agency using the split of expenditure from the same report. Further agency breakdowns are available in Table 23 of the original report (pg.58). Analysis carried out by the GMCA Research Team and assured by the Home Office."
CRIME,PROPERTY & VEHICLE CRIME,Theft of vehicle - fiscal cost to other areas of the criminal justice system,Per incident,Multiple,,168.9429199,,,"Figures derived from 'The Economic and Social Costs of Crime, Second Edition'. This estimates the total cost (fiscal, economic and social) of crime. These costs have been disaggregated to identify the breakdown into fiscal, economic and social elements of the cost of crime and the breakdown of the fiscal costs to each agency using the split of expenditure from the same report. Further agency breakdowns are available in Table 23 of the original report (pg.58). Analysis carried out by the GMCA Research Team and assured by the Home Office."
CRIME,PROPERTY & VEHICLE CRIME,Theft of vehicle - fiscal cost to the NHS,Per incident,NHS,,120.6735142,,,"Figures derived from 'The Economic and Social Costs of Crime, Second Edition'. This estimates the total cost (fiscal, economic and social) of crime. These costs have been disaggregated to identify the breakdown into fiscal, economic and social elements of the cost of crime and the breakdown of the fiscal costs to each agency using the split of expenditure from the same report. Further agency breakdowns are available in Table 23 of the original report (pg.58). Analysis carried out by the GMCA Research Team and assured by the Home Office."
CRIME,PROPERTY & VEHICLE CRIME,"Theft from vehicle - average cost per incident (fiscal, economic and social values)",Per incident,Criminal Justice System,,265.4817312,639.5696253,168.9429199,"Figures derived from 'The Economic and Social Costs of Crime, Second Edition'. This estimates the total cost (fiscal, economic and social) of crime. These costs have been disaggregated to identify the breakdown into fiscal, economic and social elements of the cost of crime and the breakdown of the fiscal costs to each agency using the split of expenditure from the same report. Further agency breakdowns are available in Table 23 of the original report (pg.58). Analysis carried out by the GMCA Research Team and assured by the Home Office."
CRIME,PROPERTY & VEHICLE CRIME,Theft from vehicle - fiscal cost to the police,Per incident,Police,,96.53881136,,,"Figures derived from 'The Economic and Social Costs of Crime, Second Edition'. This estimates the total cost (fiscal, economic and social) of crime. These costs have been disaggregated to identify the breakdown into fiscal, economic and social elements of the cost of crime and the breakdown of the fiscal costs to each agency using the split of expenditure from the same report. Further agency breakdowns are available in Table 23 of the original report (pg.58). Analysis carried out by the GMCA Research Team and assured by the Home Office."
CRIME,PROPERTY & VEHICLE CRIME,Theft from vehicle - fiscal cost to the probation system,Per incident,Probation,,24.13470284,,,"Figures derived from 'The Economic and Social Costs of Crime, Second Edition'. This estimates the total cost (fiscal, economic and social) of crime. These costs have been disaggregated to identify the breakdown into fiscal, economic and social elements of the cost of crime and the breakdown of the fiscal costs to each agency using the split of expenditure from the same report. Further agency breakdowns are available in Table 23 of the original report (pg.58). Analysis carried out by the GMCA Research Team and assured by the Home Office."
CRIME,PROPERTY & VEHICLE CRIME,Theft from vehicle - fiscal cost to the courts/legal aid system,Per incident,Court,Legal aid,72.40410852,,,"Figures derived from 'The Economic and Social Costs of Crime, Second Edition'. This estimates the total cost (fiscal, economic and social) of crime. These costs have been disaggregated to identify the breakdown into fiscal, economic and social elements of the cost of crime and the breakdown of the fiscal costs to each agency using the split of expenditure from the same report. Further agency breakdowns are available in Table 23 of the original report (pg.58). Analysis carried out by the GMCA Research Team and assured by the Home Office."
CRIME,PROPERTY & VEHICLE CRIME,Theft from vehicle - fiscal cost to the prison system,Per incident,Prison / Young Offenders Institute,,12.06735142,,,"Figures derived from 'The Economic and Social Costs of Crime, Second Edition'. This estimates the total cost (fiscal, economic and social) of crime. These costs have been disaggregated to identify the breakdown into fiscal, economic and social elements of the cost of crime and the breakdown of the fiscal costs to each agency using the split of expenditure from the same report. Further agency breakdowns are available in Table 23 of the original report (pg.58). Analysis carried out by the GMCA Research Team and assured by the Home Office."
CRIME,PROPERTY & VEHICLE CRIME,Theft from vehicle - fiscal cost to other areas of the criminal justice system,Per incident,Multiple,,12.06735142,,,"Figures derived from 'The Economic and Social Costs of Crime, Second Edition'. This estimates the total cost (fiscal, economic and social) of crime. These costs have been disaggregated to identify the breakdown into fiscal, economic and social elements of the cost of crime and the breakdown of the fiscal costs to each agency using the split of expenditure from the same report. Further agency breakdowns are available in Table 23 of the original report (pg.58). Analysis carried out by the GMCA Research Team and assured by the Home Office."
CRIME,PROPERTY & VEHICLE CRIME,Theft from vehicle - fiscal cost to the NHS,Per incident,NHS,,48.26940568,,,"Figures derived from 'The Economic and Social Costs of Crime, Second Edition'. This estimates the total cost (fiscal, economic and social) of crime. These costs have been disaggregated to identify the breakdown into fiscal, economic and social elements of the cost of crime and the breakdown of the fiscal costs to each agency using the split of expenditure from the same report. Further agency breakdowns are available in Table 23 of the original report (pg.58). Analysis carried out by the GMCA Research Team and assured by the Home Office."
CRIME,PROPERTY & VEHICLE CRIME,"Theft From Person - average cost per incident (fiscal, economic and social values)",Per incident,Criminal Justice System,,772.3104909,398.2225969,494.7614082,"Figures derived from 'The Economic and Social Costs of Crime, Second Edition'. This estimates the total cost (fiscal, economic and social) of crime. These costs have been disaggregated to identify the breakdown into fiscal, economic and social elements of the cost of crime and the breakdown of the fiscal costs to each agency using the split of expenditure from the same report. Further agency breakdowns are available in Table 23 of the original report (pg.58). Analysis carried out by the GMCA Research Team and assured by the Home Office."
CRIME,PROPERTY & VEHICLE CRIME,Theft From Person - fiscal cost to the police,Per incident,Police,,48.26940568,,,"Figures derived from 'The Economic and Social Costs of Crime, Second Edition'. This estimates the total cost (fiscal, economic and social) of crime. These costs have been disaggregated to identify the breakdown into fiscal, economic and social elements of the cost of crime and the breakdown of the fiscal costs to each agency using the split of expenditure from the same report. Further agency breakdowns are available in Table 23 of the original report (pg.58). Analysis carried out by the GMCA Research Team and assured by the Home Office."
CRIME,PROPERTY & VEHICLE CRIME,Theft From Person - fiscal cost to the probation system,Per incident,Probation,,48.26940568,,,"Figures derived from 'The Economic and Social Costs of Crime, Second Edition'. This estimates the total cost (fiscal, economic and social) of crime. These costs have been disaggregated to identify the breakdown into fiscal, economic and social elements of the cost of crime and the breakdown of the fiscal costs to each agency using the split of expenditure from the same report. Further agency breakdowns are available in Table 23 of the original report (pg.58). Analysis carried out by the GMCA Research Team and assured by the Home Office."
CRIME,PROPERTY & VEHICLE CRIME,Theft From Person - fiscal cost to the courts/legal aid system,Per incident,Court,Legal aid,349.9531912,,,"Figures derived from 'The Economic and Social Costs of Crime, Second Edition'. This estimates the total cost (fiscal, economic and social) of crime. These costs have been disaggregated to identify the breakdown into fiscal, economic and social elements of the cost of crime and the breakdown of the fiscal costs to each agency using the split of expenditure from the same report. Further agency breakdowns are available in Table 23 of the original report (pg.58). Analysis carried out by the GMCA Research Team and assured by the Home Office."
CRIME,PROPERTY & VEHICLE CRIME,Theft From Person - fiscal cost to the prison system,Per incident,Prison / Young Offenders Institute,,36.20205426,,,"Figures derived from 'The Economic and Social Costs of Crime, Second Edition'. This estimates the total cost (fiscal, economic and social) of crime. These costs have been disaggregated to identify the breakdown into fiscal, economic and social elements of the cost of crime and the breakdown of the fiscal costs to each agency using the split of expenditure from the same report. Further agency breakdowns are available in Table 23 of the original report (pg.58). Analysis carried out by the GMCA Research Team and assured by the Home Office."
CRIME,PROPERTY & VEHICLE CRIME,Theft From Person - fiscal cost to other areas of the criminal justice system,Per incident,Multiple,,36.20205426,,,"Figures derived from 'The Economic and Social Costs of Crime, Second Edition'. This estimates the total cost (fiscal, economic and social) of crime. These costs have been disaggregated to identify the breakdown into fiscal, economic and social elements of the cost of crime and the breakdown of the fiscal costs to each agency using the split of expenditure from the same report. Further agency breakdowns are available in Table 23 of the original report (pg.58). Analysis carried out by the GMCA Research Team and assured by the Home Office."
CRIME,PROPERTY & VEHICLE CRIME,Theft From Person - fiscal cost to the NHS,Per incident,NHS,,253.4143798,,,"Figures derived from 'The Economic and Social Costs of Crime, Second Edition'. This estimates the total cost (fiscal, economic and social) of crime. These costs have been disaggregated to identify the breakdown into fiscal, economic and social elements of the cost of crime and the breakdown of the fiscal costs to each agency using the split of expenditure from the same report. Further agency breakdowns are available in Table 23 of the original report (pg.58). Analysis carried out by the GMCA Research Team and assured by the Home Office."
CRIME,PROPERTY & VEHICLE CRIME,"Arson - average cost per incident (fiscal, economic and social values)",Per incident,Criminal Justice System,,6238.820684,2727.221421,1182.600439,"Figures derived from 'The Economic and Social Costs of Crime, Second Edition'. This estimates the total cost (fiscal, economic and social) of crime. These costs have been disaggregated to identify the breakdown into fiscal, economic and social elements of the cost of crime and the breakdown of the fiscal costs to each agency using the split of expenditure from the same report. Further agency breakdowns are available in Table 23 of the original report (pg.58). Analysis carried out by the GMCA Research Team and assured by the Home Office."
CRIME,PROPERTY & VEHICLE CRIME,Personal - Criminal damage - fiscal cost to the police,Per incident,Police,,1303.273953,,,"Figures derived from 'The Economic and Social Costs of Crime, Second Edition'. This estimates the total cost (fiscal, economic and social) of crime. These costs have been disaggregated to identify the breakdown into fiscal, economic and social elements of the cost of crime and the breakdown of the fiscal costs to each agency using the split of expenditure from the same report. Further agency breakdowns are available in Table 23 of the original report (pg.58). Analysis carried out by the GMCA Research Team and assured by the Home Office."
CRIME,PROPERTY & VEHICLE CRIME,Arson - fiscal cost to the probation system,Per incident,Probation,,265.4817312,,,"Figures derived from 'The Economic and Social Costs of Crime, Second Edition'. This estimates the total cost (fiscal, economic and social) of crime. These costs have been disaggregated to identify the breakdown into fiscal, economic and social elements of the cost of crime and the breakdown of the fiscal costs to each agency using the split of expenditure from the same report. Further agency breakdowns are available in Table 23 of the original report (pg.58). Analysis carried out by the GMCA Research Team and assured by the Home Office."
CRIME,PROPERTY & VEHICLE CRIME,Arson - fiscal cost to the courts/legal aid system,Per incident,Court,Legal aid,3077.174612,,,"Figures derived from 'The Economic and Social Costs of Crime, Second Edition'. This estimates the total cost (fiscal, economic and social) of crime. These costs have been disaggregated to identify the breakdown into fiscal, economic and social elements of the cost of crime and the breakdown of the fiscal costs to each agency using the split of expenditure from the same report. Further agency breakdowns are available in Table 23 of the original report (pg.58). Analysis carried out by the GMCA Research Team and assured by the Home Office."
CRIME,PROPERTY & VEHICLE CRIME,Arson - fiscal cost to the prison system,Per incident,Prison / Young Offenders Institute,,1098.128979,,,"Figures derived from 'The Economic and Social Costs of Crime, Second Edition'. This estimates the total cost (fiscal, economic and social) of crime. These costs have been disaggregated to identify the breakdown into fiscal, economic and social elements of the cost of crime and the breakdown of the fiscal costs to each agency using the split of expenditure from the same report. Further agency breakdowns are available in Table 23 of the original report (pg.58). Analysis carried out by the GMCA Research Team and assured by the Home Office."
CRIME,PROPERTY & VEHICLE CRIME,Arson - fiscal cost to other areas of the criminal justice system,Per incident,Multiple,,277.5490827,,,"Figures derived from 'The Economic and Social Costs of Crime, Second Edition'. This estimates the total cost (fiscal, economic and social) of crime. These costs have been disaggregated to identify the breakdown into fiscal, economic and social elements of the cost of crime and the breakdown of the fiscal costs to each agency using the split of expenditure from the same report. Further agency breakdowns are available in Table 23 of the original report (pg.58). Analysis carried out by the GMCA Research Team and assured by the Home Office."
CRIME,PROPERTY & VEHICLE CRIME,Arson - fiscal cost to the NHS,Per incident,NHS,,217.2123256,,,"Figures derived from 'The Economic and Social Costs of Crime, Second Edition'. This estimates the total cost (fiscal, economic and social) of crime. These costs have been disaggregated to identify the breakdown into fiscal, economic and social elements of the cost of crime and the breakdown of the fiscal costs to each agency using the split of expenditure from the same report. Further agency breakdowns are available in Table 23 of the original report (pg.58). Analysis carried out by the GMCA Research Team and assured by the Home Office."
CRIME,PROPERTY & VEHICLE CRIME,Arson - fiscal cost to victim services,Per incident,Victim Services,,12.06735142,,,"Figures derived from 'The Economic and Social Costs of Crime, Second Edition'. This estimates the total cost (fiscal, economic and social) of crime. These costs have been disaggregated to identify the breakdown into fiscal, economic and social elements of the cost of crime and the breakdown of the fiscal costs to each agency using the split of expenditure from the same report. Further agency breakdowns are available in Table 23 of the original report (pg.58). Analysis carried out by the GMCA Research Team and assured by the Home Office."
CRIME,PROPERTY & VEHICLE CRIME,"Other Criminal Damage - average cost per incident (fiscal, economic and social values)",Per incident,Criminal Justice System,,711.9737338,579.2328682,325.8184883,"Figures derived from 'The Economic and Social Costs of Crime, Second Edition'. This estimates the total cost (fiscal, economic and social) of crime. These costs have been disaggregated to identify the breakdown into fiscal, economic and social elements of the cost of crime and the breakdown of the fiscal costs to each agency using the split of expenditure from the same report. Further agency breakdowns are available in Table 23 of the original report (pg.58). Analysis carried out by the GMCA Research Team and assured by the Home Office."
CRIME,PROPERTY & VEHICLE CRIME,Other Criminal damage - fiscal cost to the police,Per incident,Police,,181.0102713,,,"Figures derived from 'The Economic and Social Costs of Crime, Second Edition'. This estimates the total cost (fiscal, economic and social) of crime. These costs have been disaggregated to identify the breakdown into fiscal, economic and social elements of the cost of crime and the breakdown of the fiscal costs to each agency using the split of expenditure from the same report. Further agency breakdowns are available in Table 23 of the original report (pg.58). Analysis carried out by the GMCA Research Team and assured by the Home Office."
CRIME,PROPERTY & VEHICLE CRIME,Other Criminal damage - fiscal cost to the probation system,Per incident,Probation,,72.40410852,,,"Figures derived from 'The Economic and Social Costs of Crime, Second Edition'. This estimates the total cost (fiscal, economic and social) of crime. These costs have been disaggregated to identify the breakdown into fiscal, economic and social elements of the cost of crime and the breakdown of the fiscal costs to each agency using the split of expenditure from the same report. Further agency breakdowns are available in Table 23 of the original report (pg.58). Analysis carried out by the GMCA Research Team and assured by the Home Office."
CRIME,PROPERTY & VEHICLE CRIME,Other Criminal damage - fiscal cost to the courts/legal aid system,Per incident,Court,Legal aid,325.8184883,,,"Figures derived from 'The Economic and Social Costs of Crime, Second Edition'. This estimates the total cost (fiscal, economic and social) of crime. These costs have been disaggregated to identify the breakdown into fiscal, economic and social elements of the cost of crime and the breakdown of the fiscal costs to each agency using the split of expenditure from the same report. Further agency breakdowns are available in Table 23 of the original report (pg.58). Analysis carried out by the GMCA Research Team and assured by the Home Office."
CRIME,PROPERTY & VEHICLE CRIME,Other Criminal damage - fiscal cost to other areas of the criminal justice system,Per incident,Multiple,,36.20205426,,,"Figures derived from 'The Economic and Social Costs of Crime, Second Edition'. This estimates the total cost (fiscal, economic and social) of crime. These costs have been disaggregated to identify the breakdown into fiscal, economic and social elements of the cost of crime and the breakdown of the fiscal costs to each agency using the split of expenditure from the same report. Further agency breakdowns are available in Table 23 of the original report (pg.58). Analysis carried out by the GMCA Research Team and assured by the Home Office."
CRIME,PROPERTY & VEHICLE CRIME,Other Criminal damage - fiscal cost to the NHS,Per incident,NHS,,108.6061628,,,"Figures derived from 'The Economic and Social Costs of Crime, Second Edition'. This estimates the total cost (fiscal, economic and social) of crime. These costs have been disaggregated to identify the breakdown into fiscal, economic and social elements of the cost of crime and the breakdown of the fiscal costs to each agency using the split of expenditure from the same report. Further agency breakdowns are available in Table 23 of the original report (pg.58). Analysis carried out by the GMCA Research Team and assured by the Home Office."
CRIME,VIOLENCE,"Fraud - average cost per incident (fiscal, economic and social values)",Per incident,Multiple,,362.0205426,941.2534108,241.3470284,"Figures derived from 'The Economic and Social Costs of Crime, Second Edition'. This estimates the total cost (fiscal, economic and social) of crime. These costs have been disaggregated to identify the breakdown into fiscal, economic and social elements of the cost of crime and the breakdown of the fiscal costs to each agency using the split of expenditure from the same report. Further agency breakdowns are available in Table 23 of the original report (pg.58). Analysis carried out by the GMCA Research Team and assured by the Home Office."
CRIME,VIOLENCE,Fraud - fiscal cost to the police,Per incident,Police,,72.40410852,,,"Figures derived from 'The Economic and Social Costs of Crime, Second Edition'. This estimates the total cost (fiscal, economic and social) of crime. These costs have been disaggregated to identify the breakdown into fiscal, economic and social elements of the cost of crime and the breakdown of the fiscal costs to each agency using the split of expenditure from the same report. Further agency breakdowns are available in Table 23 of the original report (pg.58). Analysis carried out by the GMCA Research Team and assured by the Home Office."
CRIME,VIOLENCE,Fraud - fiscal cost to the probation system,Per incident,Probation,,12.06735142,,,"Figures derived from 'The Economic and Social Costs of Crime, Second Edition'. This estimates the total cost (fiscal, economic and social) of crime. These costs have been disaggregated to identify the breakdown into fiscal, economic and social elements of the cost of crime and the breakdown of the fiscal costs to each agency using the split of expenditure from the same report. Further agency breakdowns are available in Table 23 of the original report (pg.58). Analysis carried out by the GMCA Research Team and assured by the Home Office."
CRIME,VIOLENCE,Fraud - fiscal cost to the courts/legal aid system,Per incident,Court,Legal aid,168.9429199,,,"Figures derived from 'The Economic and Social Costs of Crime, Second Edition'. This estimates the total cost (fiscal, economic and social) of crime. These costs have been disaggregated to identify the breakdown into fiscal, economic and social elements of the cost of crime and the breakdown of the fiscal costs to each agency using the split of expenditure from the same report. Further agency breakdowns are available in Table 23 of the original report (pg.58). Analysis carried out by the GMCA Research Team and assured by the Home Office."
CRIME,VIOLENCE,Fraud - fiscal cost to the prison system,Per incident,Prison / Young Offenders Institute,,12.06735142,,,"Figures derived from 'The Economic and Social Costs of Crime, Second Edition'. This estimates the total cost (fiscal, economic and social) of crime. These costs have been disaggregated to identify the breakdown into fiscal, economic and social elements of the cost of crime and the breakdown of the fiscal costs to each agency using the split of expenditure from the same report. Further agency breakdowns are available in Table 23 of the original report (pg.58). Analysis carried out by the GMCA Research Team and assured by the Home Office."
CRIME,VIOLENCE,Fraud - fiscal cost to the NHS,Per incident,NHS,,84.47145994,,,"Figures derived from 'The Economic and Social Costs of Crime, Second Edition'. This estimates the total cost (fiscal, economic and social) of crime. These costs have been disaggregated to identify the breakdown into fiscal, economic and social elements of the cost of crime and the breakdown of the fiscal costs to each agency using the split of expenditure from the same report. Further agency breakdowns are available in Table 23 of the original report (pg.58). Analysis carried out by the GMCA Research Team and assured by the Home Office."
CRIME,VIOLENCE,"Cyber crime - average cost per incident (fiscal, economic and social values)",Per incident,Multiple,,60.3367571,422.3572997,181.0102713,"Figures derived from 'The Economic and Social Costs of Crime, Second Edition'. This estimates the total cost (fiscal, economic and social) of crime. These costs have been disaggregated to identify the breakdown into fiscal, economic and social elements of the cost of crime and the breakdown of the fiscal costs to each agency using the split of expenditure from the same report. Further agency breakdowns are available in Table 23 of the original report (pg.58). Analysis carried out by the GMCA Research Team and assured by the Home Office."
CRIME,VIOLENCE,"Commercial, Robbery - average cost per incident (fiscal, economic and social values)",Per incident,Multiple,,6395.696253,6673.245335,5032.085542,"Figures derived from 'The Economic and Social Costs of Crime, Second Edition'. This estimates the total cost (fiscal, economic and social) of crime. These costs have been disaggregated to identify the breakdown into fiscal, economic and social elements of the cost of crime and the breakdown of the fiscal costs to each agency using the split of expenditure from the same report. Further agency breakdowns are available in Table 23 of the original report (pg.58). Analysis carried out by the GMCA Research Team and assured by the Home Office."
